ProductID,ProductName,AvailableQuantity,MRP,SalePrice,Category,Subcategory,Brand,After Discount,% discount
17237878,Baby On Board Sticker - White,1,145,145,Baby Gear,Baby Car Seats,Fab N Funky,101,30
3231572,Cat Shape Hooks (Color & Character May Vary),1,165,165,Nursery,Storage & Organization,Fab N Funky,0,
2765641,Babyhug Premium Cotton Baby Nest Bag Transport Theme - Multicolor,1,1245,1245,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,649,47
2407482,R for Rabbit Road Runner Scooter for Kids of 3+ Year Age  Kids Kick Scooter with 4 Level Height Adjustment  PU LED Wheels & Weight Capacity Upto 75 kg (Red),1,4680,4680,Baby Gear,Ride-ons & Scooters,,3539,24
9473802,Babyhug Rabit Walker cum Rocker With Parental Push Handle - Red (Seat Print & Color May Vary),1,3695,3695,Baby Gear,Baby Walkers,Babyhug,,0
17857341,R for Rabbit Iya Iya Zippy Kids Swing Car  Scratch Free PVC Wheels with ABEC7 Bearing  Ride on Magic Toy Car for Kids Suitable for 3+ Years Boys & Girls  Upto 75 Kgs (Sea Green),1,2331,2331,Baby Gear,Ride-ons & Scooters,R for Rabbit,1792,23
3183553,Babyhug 3 Layers High Density Plastic Storage Cabinet Teddy Print With Wheels - White,1,6995,6995,Nursery,Storage & Organization,Babyhug,5106,27
11569954,Babyhug Cotton Fix Pillow Mat With Moon Print - Pink| Soft and Comfortable|  Light Weight and Travel Friendly| Foldable| New Born Gifting Option| For Boys and Girls| Use on Floor Cribs Cots or Cradle| 100% Cotton Fabric,1,895,895,Nursery,Baby Bedding Sets & Pillows,Babyhug,660,26
14200427,Babyhug Single Ply Mink Blanket Elephant Party Print - Blue,1,425,425,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,280,34
3218777,Babyhug Cotton Swaddle Wrapper Butterfly Print - Multicolor,1,545,545,Nursery,Blankets  Wrappers & Sleeping Bags,Babyhug,342,37
20312843,Babyhug Wooden Cradle with Mosquito Net| Swing Lock & Wheels| Safe & Durable Baby Cot with Storage| Smooth Rocking| Spacious Sleeping Area| Bassinet - Beige,1,8995,8995,Nursery,Baby Furniture,Babyhug,6296,30
